Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
50533,"example_ftest59",20|IntegerSwitch,3,20,9,B2,"[B15, B16][null]","[B13, B14][null]","[B3, B4, B5, B6, B9, B10, B7, B8, B11, B12][null]"
50545,"example_ftest58",33|IntegerSwitch,4,33,86,B14,"[B15, B16][B21, B22, B23]","[B24, B25][null]","[B19, B20][B21, B22, B23]","[B17, B18][B21, B22, B23]"
50545,"example_ftest58",20|IntegerSwitch,5,20,9,B2,"[B3, B4, B6, B7, B8][B21, B22, B23]","[B11, B12][B21, B22, B23]","[B9, B10][null]","[B5, B6, B7, B8][B21, B22, B23]","[B13, B14, B15, B16, B24, B25, B19, B20, B17, B18][B21, B22, B23]"
50549,"example_ftest57",59|If,2,59,73,B8,"[B9, B10][null]","[B11, B12][null]"
50549,"example_ftest57",37|If,2,37,106,B14,"[B15, B16][null]","[B17, B18][null]"
50549,"example_ftest57",8|IntegerSwitch,6,8,6,B1,"[B2, B3, B5, B6, B20, B21][B27, B28, B29]","[B22, B23][null]","[B19, B20, B21][B27, B28, B29]","[B4, B5, B6, B20, B21][B27, B28, B29]","[B7, B8, B9, B10, B11, B12][B27, B28, B29]","[B13, B14, B15, B16, B17, B18][B27, B28, B29]"
50549,"example_ftest57",7|If,2,7,2,B0,"[B24, B25, B26][null]","[B1, B2, B3, B5, B6, B20, B21, B22, B23, B19, B4, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
50562,"example_ftest56",59|If,2,59,73,B8,"[B9, B10][null]","[B11, B12][null]"
50562,"example_ftest56",36|If,2,36,106,B14,"[B15, B16][null]","[B17, B18][null]"
50562,"example_ftest56",8|IntegerSwitch,6,8,6,B1,"[B2, B3, B5, B6, B20, B21][null]","[B22, B23][null]","[B19, B20, B21][null]","[B4, B5, B6, B20, B21][null]","[B7, B8, B9, B10, B11, B12][null]","[B13, B14, B15, B16, B17, B18][null]"
50562,"example_ftest56",7|If,2,7,2,B0,"[B24, B25, B26][null]","[B1, B2, B3, B5, B6, B20, B21, B22, B23, B19, B4, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
50567,"example_ftest55",23|If,2,23,62,B7,"[B8, B9][null]","[B10, B11][null]"
50567,"example_ftest55",8|IntegerSwitch,4,8,6,B1,"[B2, B3][null]","[B12, B13, B14][B18, B19, B20]","[B6, B7, B8, B9, B10, B11, B13, B14][B18, B19, B20]","[B4, B5][B18, B19, B20]"
50567,"example_ftest55",7|If,2,7,2,B0,"[B15, B16, B17][null]","[B1, B2, B3, B12, B13, B14, B6, B7, B8, B9, B10, B11, B4, B5][null]"
