Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
51887,example_ftest29,3|If,40,21,B4,True
51887,example_ftest29,3|If,22,12,B2,True
51894,example_ftest28,3|If,55,33,B7,True
51894,example_ftest28,3|If,40,21,B4,True
51894,example_ftest28,3|If,22,12,B2,True
51913,example_ftest3,3|If,7,5,B0,True
51918,example_ftest4,3|If,7,2,B0,True
51919,example_ftest27,3|If,55,33,B7,True
51919,example_ftest27,3|If,40,21,B4,True
51919,example_ftest27,3|If,22,12,B2,True
51920,example_ftest5,3|IntegerSwitch,3,1,B0,True
51922,example_ftest6,3|IntegerSwitch,3,1,B0,True
51924,example_ftest7,3|If,12,4,B1,True
51925,example_ftest26,3|If,38,21,B4,True
51925,example_ftest26,3|If,21,12,B2,True
51926,example_ftest8,3|If,12,4,B1,True
51928,example_ftest25,3|If,39,21,B4,True
51928,example_ftest25,3|If,21,12,B2,True
51930,example_ftest9,3|If,25,14,B2,True
51933,example_ftest24,3|If,42,28,B5,True
51935,example_ftest10,3|If,7,3,B0,True
51933,example_ftest24,3|If,7,2,B0,True
51945,example_ftest23,3|If,26,18,B4,True
51945,example_ftest23,3|If,7,2,B0,True
51950,example_ftest22,3|If,53,37,B8,True
51950,example_ftest22,3|If,23,13,B3,True
51950,example_ftest22,3|If,13,6,B1,True
51954,example_ftest21,3|If,38,26,B6,True
51954,example_ftest21,3|If,29,17,B4,True
51954,example_ftest21,3|If,20,8,B2,True
51956,example_ftest20,3|If,42,22,B5,True
51956,example_ftest20,3|If,19,8,B2,True
51953,example_ftest11,3|If,13,-4,B3,True
51953,example_ftest11,3|Invoke#Throwable.fillInStackTrace,60,24,B1,True
51953,example_ftest11,3|If,7,4,B0,True
51958,example_ftest19,3|If,45,25,B5,True
51958,example_ftest19,3|If,31,16,B3,True
51961,example_ftest12,3|IntegerSwitch,3,1,B0,True
51970,example_ftest18,3|If,60,66,B10,True
51971,example_ftest13,3|IntegerSwitch,25,16,B3,True
51971,example_ftest13,3|If,7,3,B0,True
51973,example_ftest14,3|If,12,7,B1,True
51973,example_ftest14,3|If,45,36,B9,True
51973,example_ftest14,3|If,8,2,B0,True
51976,example_ftest15,3|If,12,7,B1,True
51976,example_ftest15,3|If,43,30,B8,True
51976,example_ftest15,3|If,8,2,B0,True
51970,example_ftest18,3|IntegerSwitch,25,14,B3,True
51970,example_ftest18,3|If,24,10,B2,True
51977,example_ftest16,3|If,8,2,B0,True
51977,example_ftest16,3|If,90,79,B15,True
51977,example_ftest16,3|If,123,113,B21,True
51977,example_ftest16,3|If,59,44,B9,True
51977,example_ftest16,3|If,40,27,B6,True
51980,example_ftest17,3|If,52,39,B4,True
51980,example_ftest17,3|If,28,74,B11,True
51980,example_ftest17,3|IntegerSwitch,21,9,B2,True
Summary:,True,,,,,
