Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
48216,example_ftest55,23|If,23,62,B7,True
48216,example_ftest55,23|IntegerSwitch,8,6,B1,True
48216,example_ftest55,23|If,7,2,B0,True
Summary:,True,,,,,
