Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
48343,example_ftest29,22|If,54,33,B7,True
48343,example_ftest29,22|If,40,21,B4,True
48343,example_ftest29,22|If,22,12,B2,True
Summary:,True,,,,,
