Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
47599,example_ftest13,7|IntegerSwitch,25,16,B3,True
47599,example_ftest13,7|If,7,3,B0,True
Summary:,True,,,,,
