Graph Id,Source Function,Node Description,Node Id,Node BCI,head
48004,"example_ftest16",8|If,8,2,B0,"[B1, B2]","[B3]"
48004,"example_ftest16",90|If,90,79,B15,"[B16, B17]","[B18, B19]"
48004,"example_ftest16",123|If,123,113,B21,"[B22, B23]","[B24, B25]"
48004,"example_ftest16",59|If,59,44,B9,"[B10, B11]","[B12, B13]"
48004,"example_ftest16",40|If,40,27,B6,"[B14, B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25]","[B7, B8, B9, B10, B11, B12, B13]"
