Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
151,"getNode",51|If,2,51,-9999,B7,"[B8][null]","[B9][null]"
151,"getNode",36|If,2,36,-9999,B5,"[B6][null]","[B7, B8, B9][null]"
151,"getNode",31|If,2,31,-9999,B4,"[B5, B6, B7, B8, B9, B10][null]","[B11][null]"
151,"getNode",114|If,2,114,-9999,B25,"[B28][null]","[x(111|LoopExit)][null]"
151,"getNode",105|If,2,105,-9999,B20,"[B21][null]","[x(97|LoopExit)][null]"
151,"getNode",88|If,2,88,-9999,B18,"[x(85|LoopExit)][null]","[B20, B21, B22][null]"
151,"getNode",80|If,2,80,-9999,B17,"[B24][null]","[B18, B19, B20, B21, B22, B23][null]"
151,"getNode",64|If,2,64,-9999,B14,"[B15][null]","[B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
151,"getNode",60|If,2,60,-9999,B12,"[B13][null]","[B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
151,"getNode",26|If,2,26,-9999,B2,"[B3][null]","[B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
151,"getNode",10|If,2,10,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
177,"put",44|If,2,44,-9999,B3,"[B4][null]","[B5][null]"
177,"put",28|If,2,28,-9999,B1,"[B2][null]","[B3, B4, B5][null]"
177,"put",104|If,2,104,-9999,B7,"[B8][null]","[B9][null]"
177,"put",73|If,2,73,-9999,B6,"[B10][null]","[B7, B8, B9][null]"
177,"put",15|If,2,15,-9999,B0,"[B1, B2, B3, B4, B5, B6, B10, B7, B8, B9, B11][null]","[B12][null]"
212,"setHashArray",11|If,2,11,-9999,B0,"[B1][null]","[B2][null]"
220,"putHashEntry",46|If,2,46,-9999,B8,"[B9][null]","[B10][null]"
220,"putHashEntry",75|If,2,75,-9999,B5,"[B6][null]","[B7][null]"
220,"putHashEntry",41|If,2,41,-9999,B4,"[B8, B9, B10][null]","[B5, B6, B7][null]"
220,"putHashEntry",26|If,2,26,-9999,B2,"[B3][null]","[B12][null]"
220,"putHashEntry",19|If,2,19,-9999,B0,"[B1][null]","[B2, B3, B12][null]"
246,"findLinear",33|If,2,33,-9999,B2,"[B3][null]","[x(29|LoopExit)][null]"
246,"findLinear",16|If,2,16,-9999,B1,"[x(13|LoopExit)][null]","[B2, B3, B4][null]"
274,"find",11|If,2,11,-9999,B0,"[B1][null]","[B2][null]"
283,"inc",9|If,2,9,-9999,B0,"[B1][null]","[B2][null]"
282,"copyOf",37|If,2,37,-9999,B4,"[B5][null]","[B7][null]"
282,"copyOf",20|If,2,20,-9999,B2,"[B3][null]","[B4, B5, B7][null]"
282,"copyOf",9|If,2,9,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B7, B6][null]"
286,"getBytes",47|If,2,47,-9999,B6,"[B7][null]","[B9][null]"
286,"getBytes",36|If,2,36,-9999,B4,"[B5][null]","[B6, B7, B9][null]"
286,"getBytes",29|If,2,29,-9999,B2,"[B3][null]","[B4, B5, B6, B7, B9][null]"
286,"getBytes",12|If,2,12,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B9, B8][null]"
299,"skipIdentifier",72|If,2,72,-9999,B16,"[B17][null]","[B18][null]"
299,"skipIdentifier",56|If,2,56,-9999,B14,"[B15][null]","[B16, B17, B18][null]"
299,"skipIdentifier",50|If,2,50,-9999,B12,"[B13][null]","[B14, B15, B16, B17, B18][null]"
299,"skipIdentifier",44|If,2,44,-9999,B10,"[B11][null]","[B12, B13, B14, B15, B16, B17, B18][null]"
299,"skipIdentifier",38|If,2,38,-9999,B8,"[B9][null]","[B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
299,"skipIdentifier",32|If,2,32,-9999,B5,"[x(30|LoopExit)][null]","[B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
299,"skipIdentifier",23|If,2,23,-9999,B3,"[B4][null]","[B5, B6, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
299,"skipIdentifier",17|If,2,17,-9999,B1,"[x(15|LoopExit)][null]","[B3, B4, B5, B6, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18][null]"
324,"compareKeys",31|If,2,31,-9999,B7,"[B8][null]","[B9][null]"
324,"compareKeys",25|If,2,25,-9999,B4,"[B5][null]","[B7, B8, B9][null]"
324,"compareKeys",16|If,2,16,-9999,B2,"[B3][null]","[B4, B5, B7, B8, B9][null]"
324,"compareKeys",8|If,2,8,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B7, B8, B9, B6][null]"
331,"max",7|If,2,7,-9999,B0,"[B1][null]","[B2][null]"
347,"get",14|If,2,14,-9999,B0,"[B1][null]","[B2][null]"
355,"get",14|If,2,14,-9999,B0,"[B1][null]","[B2][null]"
374,"getHashArray",10|If,2,10,-9999,B0,"[B1][null]","[B2][null]"
382,"newCapacity",27|If,2,27,-9999,B2,"[B3][null]","[B4][null]"
382,"newCapacity",20|If,2,20,-9999,B1,"[B2, B3, B4, B5][null]","[B6][null]"
382,"newCapacity",14|If,2,14,-9999,B0,"[B7][null]","[B1, B2, B3, B4, B5, B6][null]"
383,"<init>",14|If,2,14,-9999,B0,"[B1][null]","[B2][null]"
386,"min",7|If,2,7,-9999,B0,"[B1][null]","[B2][null]"
390,"limit",17|If,2,17,-9999,B0,"[B1][null]","[B2][null]"
398,"pollFirst",11|If,2,11,-9999,B0,"[B1][null]","[B2][null]"
402,"findHash",39|If,2,39,-9999,B3,"[B4][null]","[B5][null]"
402,"findHash",28|If,2,28,-9999,B2,"[B3, B4, B5][null]","[B7][null]"
402,"findHash",17|If,2,17,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B7][null]"
426,"hashCode",17|If,2,17,-9999,B1,"[B2][null]","[B3][null]"
426,"hashCode",8|If,2,8,-9999,B0,"[B4][null]","[B1, B2, B3][null]"
425,"valueOf",15|If,2,15,-9999,B0,"[B1][null]","[B2][null]"
429,"reset",42|If,2,42,-9999,B4,"[B5][null]","[x(39|LoopExit)][null]"
429,"reset",23|If,2,23,-9999,B1,"[B2][null]","[x(20|LoopExit)][null]"
438,"equals",54|If,2,54,-9999,B6,"[B7][null]","[B8][null]"
438,"equals",47|If,2,47,-9999,B4,"[B5][null]","[B6, B7, B8][null]"
438,"equals",36|If,2,36,-9999,B3,"[B9][null]","[B4, B5, B6, B7, B8][null]"
438,"equals",13|If,2,13,-9999,B2,"[B10][null]","[B3, B9, B4, B5, B6, B7, B8][null]"
