Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
48149,example_ftest65,26|If,38,17,B6,True
48149,example_ftest65,26|If,33,13,B4,True
48149,example_ftest65,26|If,26,9,B2,True
Summary:,True,,,,,
