Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
47831,example_ftest47,4|If,54,98,B5,True
47831,example_ftest47,4|IntegerSwitch,4,1,B0,True
Summary:,True,,,,,
