Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
48098,"example_ftest11",13|If,2,13,-4,B3,"[B4][null]","[B8][null]"
48098,"example_ftest11",60|Invoke#Throwable.fillInStackTrace,2,60,24,B1,"[B2][null]","[B3, B4, B8][null]"
48098,"example_ftest11",7|If,2,7,4,B0,"[B9][null]","[B1, B2, B3, B4, B8, B5, B6, B7][null]"
