Graph Id,Source Function,Node Description,Node Id,Node BCI,head
48207,"example_ftest14",12|If,12,7,B1,"[B2, B3]","[B4, B5]"
48207,"example_ftest14",45|If,45,36,B9,"[B10, B11]","[B12, B13]"
48207,"example_ftest14",8|If,8,2,B0,"[B1, B2, B3, B4, B5, B6, B7]","[B8, B9, B10, B11, B12, B13]"
