Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
49316,example_ftest53,8|IntegerSwitch,8,6,B1,True
49316,example_ftest53,8|If,7,2,B0,True
Summary:,True,,,,,
