Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
47994,example_ftest44,7|IntegerSwitch,15,11,B3,True
47994,example_ftest44,7|If,7,2,B0,True
Summary:,True,,,,,
