Graph Id,Source Function,Node Description,Node Id,Node BCI,head
48067,"example_ftest27",55|If,55,33,B7,"[B9, B10]","x(53|LoopExit)"
48067,"example_ftest27",40|If,40,21,B4,"x(38|LoopExit)","[B6, B7, B9, B10, B8]"
48067,"example_ftest27",22|If,22,12,B2,"x(19|LoopExit)","[B3, B4, B5, B6, B7, B9, B10, B8]"
