Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
48252,example_ftest63,7|IntegerSwitch,47,62,B11,True
48252,example_ftest63,7|IntegerSwitch,14,10,B2,True
48252,example_ftest63,7|If,7,2,B0,True
Summary:,True,,,,,
