Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
47113,example_ftest32,8|If,41,19,B6,True
47113,example_ftest32,8|If,26,19,B4,True
47113,example_ftest32,8|If,22,13,B3,True
47113,example_ftest32,8|If,8,5,B0,True
Summary:,True,,,,,
