Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
48071,"example_ftest31",56|If,2,56,42,B8,"[B12, B13][null]","[x(54|LoopExit)][null]"
48071,"example_ftest31",40|If,2,40,21,B4,"[x(38|LoopExit)][null]","[B7, B8, B12, B13, B9, B10][null]"
48071,"example_ftest31",22|If,2,22,12,B2,"[x(19|LoopExit)][null]","[B3, B4, B5, B6, B7, B8, B12, B13, B9, B10, B11][null]"
