Graph Id,Source Function,Node Description,Node Id,Node BCI,head
47698,"example_ftest17",52|If,52,39,B4,"[B5, B6]","[B7, B8]"
47698,"example_ftest17",28|If,28,74,B11,"[B12, B13]","[B14, B15]"
47698,"example_ftest17",21|IntegerSwitch,21,9,B2,"[B3]","[B4, B5, B6, B7, B8, B9, B10]","[B11, B12, B13, B14, B15]"
